d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_20_14_918_marci.fenymasolt.copy_0.png,1,1,Tr0_Lw,0.74,[Tr],Flash,1,Exp,866,Iso,79,PhysDev,HTC_U11,fitrot,-65.45,Fit4C 89.10 90.78,Tr0_Lw,0.74,-0.51,Tr0_0.00,1.50,-0.50,Tr1_Lw,0.21,-0.79,Tr1_0.00,0.25,-1.33,Ci_Lw,0.87,0.49,Ci,0.02,-5.94,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_21_23_760_marci.fenymasolt.copy_0.png,1,1,Tr0_Lw,0.78,[Tr],Flash,1,Exp,900,Iso,80,PhysDev,HTC_U11,fitrot,-65.58,Fit4C 89.44 90.32,Tr0_Lw,0.78,-0.44,Tr0_0.00,1.43,-0.57,Tr1_Lw,1.53,0.53,Tr1_0.00,0.77,-0.64,Ci_Lw,-0.66,-5.63,Ci,0.05,-5.88,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_22_55_502_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,780,Iso,80,PhysDev,HTC_U11,fitrot,15.23,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_23_52_337_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,807,Iso,78,PhysDev,HTC_U11,fitrot,-1.89,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_29_59_856_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,780,Iso,80,PhysDev,HTC_U11,fitrot,-39.40,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_30_51_165_marci.fenymasolt.copy_0.png,1,1,Tr0_Lw,0.77,[Tr],Flash,1,Exp,975,Iso,79,PhysDev,HTC_U11,fitrot,-64.93,Fit4C 89.44 90.31,Tr0_Lw,0.77,-0.46,Tr0_0.00,1.60,-0.40,Tr1_Lw,1.63,0.63,Tr1_0.00,0.82,-0.58,Ci_Lw,0.87,0.50,Ci,0.02,-5.96,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_31_32_363_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,975,Iso,79,PhysDev,HTC_U11,fitrot,-51.83,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_32_18_440_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,780,Iso,80,PhysDev,HTC_U11,fitrot,-15.62,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_34_42_353_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,731,Iso,80,PhysDev,HTC_U11,fitrot,-61.73,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_35_38_953_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,755,Iso,80,PhysDev,HTC_U11,fitrot,-51.74,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_36_06_600_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,755,Iso,80,PhysDev,HTC_U11,fitrot,-41.75,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_36_19_850_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,755,Iso,80,PhysDev,HTC_U11,fitrot,-45.92,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_37_04_041_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,731,Iso,80,PhysDev,HTC_U11,fitrot,-47.62,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_38_35_710_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,709,Iso,80,PhysDev,HTC_U11,fitrot,-43.23,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_42_28_334_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,709,Iso,80,PhysDev,HTC_U11,fitrot,-61.53,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\copy_sok_fit_hiba\spactick_2017_10_09_17_47_28_462_marci.fenymasolt.copy_0.png,1,2,nofit,[Tr]!![Tr],Flash,1,Exp,731,Iso,80,PhysDev,HTC_U11,fitrot,-64.75,Fit4C 1000.00 -1000.00,nofit,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_39_19_173_marci.eredeti_0.png,0,1,Tr1_Lw,-2.39,[Tr],Flash,1,Exp,780,Iso,80,PhysDev,HTC_U11,fitrot,-70.19,Fit4C 89.30 90.50,Tr0_Lw,1.98,1.27,Tr0_0.00,3.52,1.03,Tr1_Lw,-2.39,-3.39,Tr1_0.00,0.92,-0.44,Ci_Lw,1.37,1.78,Ci,3.51,1.04,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_41_39_584_marci.eredeti_0.png,0,1,Tr1_Lw,-1.70,[Tr],Flash,1,Exp,807,Iso,78,PhysDev,HTC_U11,fitrot,-62.41,Fit4C 89.42 90.53,Tr0_Lw,2.07,1.33,Tr0_0.00,4.57,1.09,Tr1_Lw,-1.70,-2.70,Tr1_0.00,1.07,-0.24,Ci_Lw,1.43,1.57,Ci,3.43,1.04,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_42_01_108_marci.eredeti_0.png,0,2,nofit,[Tr]!![Tr],Flash,1,Exp,755,Iso,80,PhysDev,HTC_U11,fitrot,25.48,Fit4C 89.02 91.01,nofit,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_43_35_942_marci.eredeti_0.png,0,1,Tr1_Lw,-1.84,[Tr],Flash,1,Exp,807,Iso,80,PhysDev,HTC_U11,fitrot,-63.98,Fit4C 89.37 90.60,Tr0_Lw,2.12,1.35,Tr0_0.00,6.46,1.20,Tr1_Lw,-1.84,-2.84,Tr1_0.00,1.02,-0.30,Ci_Lw,1.39,1.70,Ci,3.52,1.04,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_44_23_812_marci.eredeti_0.png,0,1,Tr1_Lw,-1.90,[Tr],Flash,1,Exp,807,Iso,78,PhysDev,HTC_U11,fitrot,-68.50,Fit4C 89.73 90.26,Tr0_Lw,1.50,1.00,Tr0_0.00,5.26,1.13,Tr1_Lw,-1.90,-2.90,Tr1_0.00,1.06,-0.26,Ci_Lw,1.36,1.79,Ci,3.52,1.04,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_44_43_912_marci.eredeti_0.png,0,1,Tr1_Lw,-1.47,[Tr],Flash,1,Exp,836,Iso,79,PhysDev,HTC_U11,fitrot,-66.84,Fit4C 89.81 90.18,Tr0_Lw,1.80,1.17,Tr0_0.00,5.98,1.18,Tr1_Lw,-1.47,-2.47,Tr1_0.00,1.04,-0.28,Ci_Lw,1.37,1.77,Ci,3.39,1.03,
d:\diplomamunka\spaceticket\htc\eredeti\spactick_2017_09_18_15_44_58_932_marci.eredeti_0.png,0,1,Tr1_Lw,-1.58,[Tr],Flash,1,Exp,807,Iso,80,PhysDev,HTC_U11,fitrot,-64.83,Fit4C 89.47 90.55,Tr0_Lw,1.47,0.94,Tr0_0.00,6.68,1.22,Tr1_Lw,-1.58,-2.58,Tr1_0.00,1.00,-0.33,Ci_Lw,1.17,1.58,Ci,3.32,1.03,
